taxid	species	rna_count	illumina_rna_count	cds_link
71275	rosids	206931	195936	
3702	Arabidopsis thaliana	78257	75107	
4577	Zea mays	40241	39409	
4530	Oryza sativa	26278	25037	
4565	Triticum aestivum	14937	14356	
4081	Solanum lycopersicum	13484	12520	
3603	Vitis	10933	10627	
3847	Glycine max	9764	9514	
29760	Vitis vinifera	9189	8998	
4513	Hordeum vulgare	8899	8730	
4558	Sorghum bicolor	8072	7974	
3708	Brassica napus	7046	6645	
3635	Gossypium hirsutum	5489	5089	
3711	Brassica rapa	4590	4461	
4113	Solanum tuberosum	4576	4246	
3880	Medicago truncatula	3474	3309	
15368	Brachypodium distachyon	3094	3013	
4442	Camellia sinensis	3527	2862	
3750	Malus domestica	3080	2792	
4097	Nicotiana tabacum	2819	2774	
38727	Panicum virgatum	2790	2628	
3694	Populus trichocarpa	2590	2564	
3659	Cucumis sativus	2464	2369	
3052	Chlamydomonas	2389	2305	
4155	Erythranthe guttata	2304	2304	
3055	Chlamydomonas reinhardtii	2255	2173	
3983	Manihot esculenta	2058	1875	
128810	Saccharum hybrid cultivar	2112	1871	
4072	Capsicum annuum	1940	1815	
3760	Prunus persica	1837	1726	
3712	Brassica oleracea	1750	1712	
3818	Arachis hypogaea	1975	1701	
4100	Nicotiana benthamiana	1910	1684	
4555	Setaria italica	1549	1516	
3329	Picea abies	1617	1490	
81970	Arabidopsis halleri	1458	1447	
3885	Phaseolus vulgaris	1479	1431	
4232	Helianthus annuus	1397	1301	
3696	Populus deltoides	1228	1228	
3218	Physcomitrium patens	1359	1222	
2711	Citrus sinensis	1298	1212	
4571	Triticum turgidum	1197	1197	
4120	Ipomoea batatas	1202	1170	
77065	Salix purpurea	1163	1143	
3656	Cucumis melo	1199	1118	
3707	Brassica juncea	1033	999	
4236	Lactuca sativa	1028	968	
3654	Citrullus lanatus	1009	967	
206008	Panicum hallii	974	964	
3197	Marchantia polymorpha	1049	963	
3747	Fragaria x ananassa	943	887	
3932	Eucalyptus	937	844	
3634	Gossypium barbadense	865	809	
38705	Phyllostachys edulis	763	736	
4641	Musa acuminata	758	734	
28526	Solanum pennellii	737	731	
35925	Diospyros kaki	837	730	
3848	Glycine soja	740	728	
385388	Camellia oleifera	800	702	
34305	Lotus japonicus	723	684	
3888	Pisum sativum	706	671	
4084	Solanum pimpinellifolium	663	650	
3827	Cicer arietinum	748	646	
4543	Cenchrus americanus	659	646	
63787	Kalanchoe fedtschenkoi	642	642	
13443	Coffea arabica	657	638	
161934	Beta vulgaris	733	630	
63459	Chenopodium quinoa	650	605	
4006	Linum usitatissimum	650	605	
4556	Setaria viridis	607	601	
4111	Solanum melongena	634	591	
151069	Litchi chinensis	578	578	
3767	Pyrus pyrifolia	643	576	
4182	Sesamum indicum	595	576	
38871	Fraxinus	546	542	
3311	Ginkgo biloba	559	539	
42229	Prunus avium	576	534	
69266	Vaccinium corymbosum	576	513	
51953	Elaeis guineensis	618	507	
57918	Fragaria vesca	505	503	
4540	Panicum miliaceum	628	499	
3641	Theobroma cacao	493	490	
4146	Olea europaea	539	487	
3726	Raphanus sativus	530	486	
4547	Saccharum officinarum	504	484	
4615	Ananas comosus	485	479	
3483	Cannabis sativa	495	465	
326968	Ziziphus jujuba	476	463	
38942	Quercus robur	498	460	
4529	Oryza rufipogon	454	454	
3625	Actinidia chinensis	446	445	
4522	Lolium perenne	470	440	
4432	Nelumbo nucifera	480	435	
3981	Hevea brasiliensis	470	431	
3357	Pseudotsuga menziesii	436	418	
4498	Avena sativa	467	415	
13288	Thlaspi arvense	445	411	
36596	Prunus armeniaca	416	404	
3906	Vicia faba	425	401	
90675	Camelina sativa	411	399	
51240	Juglans regia	448	397	
29729	Gossypium arboreum	1417	392	
4682	Allium sativum	406	387	
38832	Micromonas	377	377	
4054	Panax ginseng	393	376	
29780	Mangifera indica	370	365	
38785	Arabidopsis arenosa	364	364	
37682	Aegilops tauschii	390	361	
4039	Daucus carota	383	359	
3044	Dunaliella	406	358	
3330	Picea glauca	394	356	
29655	Zostera marina	366	355	
37657	Silene latifolia	359	354	
3562	Spinacia oleracea	356	351	
28930	Fagus sylvatica	353	347	
180498	Jatropha curcas	360	345	
3917	Vigna unguiculata	369	344	
422564	Miscanthus lutarioriparius	341	341	
3498	Morus alba	375	338	
37334	Citrus maxima	443	336	
225117	Pyrus x bretschneideri	437	335	
3071	Chlorella	379	332	
153471	Populus alba x Populus glandulosa	334	331	
22663	Punica granatum	332	329	
49390	Coffea canephora	341	328	
118781	Populus tomentosa	355	327	
99658	Xanthoceras sorbifolium	325	315	
62330	Fagopyrum tataricum	327	313	
3649	Carica papaya	312	312	
62335	Saccharum spontaneum	316	306	
32201	Carya illinoinensis	338	302	
71139	Eucalyptus grandis	350	301	
59689	Arabidopsis lyrata	303	298	
228871	Aethionema arabicum	302	296	
83906	Boehmeria nivea	308	286	
29656	Spirodela polyrhiza	352	282	
4550	Secale cereale	315	282	
44586	Panax notoginseng	306	277	
4572	Triticum urartu	277	276	
85692	Triticum dicoccoides	273	270	
157791	Vigna radiata	274	268	
54800	Larix kaempferi	291	264	
102107	Prunus mume	327	263	
60419	Castanea mollissima	285	262	
38873	Fraxinus excelsior	261	261	
3435	Persea americana	277	250	
74649	Rosa chinensis	297	249	
4679	Allium cepa	254	249	
29695	Phragmites australis	276	242	
3627	Actinidia deliciosa	268	242	
3899	Trifolium repens	260	236	
226208	Salvia miltiorrhiza	248	232	
38833	Micromonas pusilla	232	232	
128017	Dimocarpus longan	227	227	
93977	Osmanthus fragrans	232	224	
142615	Dendrobium officinale	247	219	
85571	Citrus reticulata	227	217	
57577	Trifolium pratense	217	213	
